Played At,Day of Month,Crash Point,Game Hash,Game Secret,Secret Badge,Secret Badge Index
1/21/2018, 3:23:07 PM,21,x1.03,e74ce6a4399c4a1c36ebe57cbf54627edad446a448cdf662d85ceb0b27671565,7f753b53136ffff9acb06b3a26d61fb0b7a988f1b44bad17b7f4b996e27e37fd,8,60499
1/21/2018, 3:23:18 PM,21,x1.52,7f753b53136ffff9acb06b3a26d61fb0b7a988f1b44bad17b7f4b996e27e37fd,4e4e696ab0175ba552ad9273faf80d433411c12f3fba8a97901f4a3ba8600228,8,60498
1/21/2018, 3:23:36 PM,21,x1.49,4e4e696ab0175ba552ad9273faf80d433411c12f3fba8a97901f4a3ba8600228,7315c0818dedaf37fb2011023f6c58404981b6028c43ad583d83e3cf5bcfa61e,8,60497
1/21/2018, 3:23:53 PM,21,x519.48,7315c0818dedaf37fb2011023f6c58404981b6028c43ad583d83e3cf5bcfa61e,b8ab3ec3b8c731e483a0e43ba91864a69d3652205378e0877fd9d4fb07518e12,8,60496
1/21/2018, 3:25:48 PM,21,x149.57,b8ab3ec3b8c731e483a0e43ba91864a69d3652205378e0877fd9d4fb07518e12,c29252619b7554c2137f4e1bd2531114fdc74e36ca2e5a0aba54f799b1347eb5,8,60495
1/21/2018, 3:27:22 PM,21,x1.95,c29252619b7554c2137f4e1bd2531114fdc74e36ca2e5a0aba54f799b1347eb5,b84a785c2600ec3564bd9a0b75992dbe75f0c958ed47187d01bd4e593298ac36,8,60494
1/21/2018, 3:27:44 PM,21,x1.01,b84a785c2600ec3564bd9a0b75992dbe75f0c958ed47187d01bd4e593298ac36,8ec7feb23ffabd8521e1810bd231bf815966a3aacc13bccee31adc709eba1b91,8,60493
1/21/2018, 3:27:55 PM,21,x1.17,8ec7feb23ffabd8521e1810bd231bf815966a3aacc13bccee31adc709eba1b91,d3370ba224304e231a66ff4d87a1fe01eed67baa4eb554623e4b12a1c6904e09,8,60492
1/21/2018, 3:28:09 PM,21,x16.35,d3370ba224304e231a66ff4d87a1fe01eed67baa4eb554623e4b12a1c6904e09,d56912e3470e0f3fd94a0fa139ac4d78e8ad9457005b520332d9f9037068afd7,8,60491
1/21/2018, 3:29:06 PM,21,x0,d56912e3470e0f3fd94a0fa139ac4d78e8ad9457005b520332d9f9037068afd7,c22699fb17faa791b72e2ff4d5577aaaf88e899cce2ebacfcabb2650476dd39c,8,60490
1/21/2018, 3:29:17 PM,21,x1.66,c22699fb17faa791b72e2ff4d5577aaaf88e899cce2ebacfcabb2650476dd39c,bb62498d18b5c42e7bfafd72066850517b093ed459e25a2c0c059d04bc476704,8,60489
1/21/2018, 3:29:36 PM,21,x0,bb62498d18b5c42e7bfafd72066850517b093ed459e25a2c0c059d04bc476704,21f8dbe728c1f497d9540ca2a6f9ead590b1fa8fbb627123dd54cc903d7d4bec,8,60488
1/21/2018, 3:29:47 PM,21,x3.56,21f8dbe728c1f497d9540ca2a6f9ead590b1fa8fbb627123dd54cc903d7d4bec,dc8028a9d84fd3d7cb50d792138dfd4dcac7f8cbdf7a071ae9af03987ae76d78,8,60487
1/21/2018, 3:30:19 PM,21,x2.81,dc8028a9d84fd3d7cb50d792138dfd4dcac7f8cbdf7a071ae9af03987ae76d78,8b07a3829d95a0a82762f7b3960f311d6c09bcd4ba280d51f119d469325cf531,8,60486
1/21/2018, 3:30:46 PM,21,x1.22,8b07a3829d95a0a82762f7b3960f311d6c09bcd4ba280d51f119d469325cf531,a0442e2e1c741f3e72e5c91b7b6da53c60b64faeca40a65bb3a91ffde252d193,8,60485
